Common Material,EISc(original),Sustainable Substitute,EIS (Substitute)
PET (Polyethylene Terephthalate),8,PLA (Polylactic Acid) Bioplastic,3
Polyethylene (Plastic),9,Jute or Cotton,2
Polystyrene (Plastic),9,(Plastic),3
,,Bamboo or Compostable PLA,
Polyurethane Foam,8,Recycled Denim or Sheep?s Wool,3
Plastic,10,Paper or Metal,2
Conventional Cotton,7,Organic Cotton or Hemp,3
Polystyrene (Styrofoam),9,Mushroom Packaging (Mycelium),1
PVC (Vinyl),8,Recycled Wood or Bamboo,3
Non-Woven Polyester,8,Biodegradable Bamboo Fiber,2
